event_id,timestamp,project_id,stage_id,event_type,status_after,pct_complete,planned_end_date,actual_date,stage_owner,blocker_flag,blocker_reason,blocker_owner,expected_unblock_date,comment,submitted_by,source
BF-0032,2026-07-27T00:00:00Z,COHE-NPI-001,ccw,Completed,Complete,100,2026-01-23,2026-01-23,CE / Offer team,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0033,2026-07-27T00:00:00Z,COHE-NPI-001,fulfillment,Completed,Complete,100,2026-02-10,2026-02-10,"CE, BU OPS",false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0034,2026-07-27T00:00:00Z,COHE-NPI-001,orr,Backfill Snapshot,Not Started,0,2026-02-27,2026-02-27,S+ Team,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0035,2026-07-27T00:00:00Z,COHE-NPI-001,orderable,Backfill Snapshot,Not Started,0,2026-03-17,2026-03-17,BUPM,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0036,2026-07-27T00:00:00Z,COHE-NPI-001,post_orderable,Backfill Snapshot,Not Started,0,2026-04-03,2026-04-03,BU OPS,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0037,2026-07-27T00:00:00Z,RUBR-NPI-002,legal,Completed,Complete,100,2025-11-02,2025-11-02,S+ Team,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0038,2026-07-27T00:00:00Z,RUBR-NPI-002,documentation,Completed,Complete,100,2025-11-16,2025-11-16,BUPM,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0039,2026-07-27T00:00:00Z,RUBR-NPI-002,pid_prep,Completed,Complete,100,2025-11-29,2025-11-29,BU OPS,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0040,2026-07-27T00:00:00Z,RUBR-NPI-002,npi_kickoff,Completed,Complete,100,2025-12-12,2025-12-12,BU OPS + CE,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0041,2026-07-27T00:00:00Z,RUBR-NPI-002,pid_creation,Completed,Complete,100,2025-12-26,2025-12-26,CE/NPPN,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0042,2026-07-27T00:00:00Z,RUBR-NPI-002,pid_setups,Completed,Complete,100,2026-01-08,2026-01-08,CE/PDT,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0043,2026-07-27T00:00:00Z,RUBR-NPI-002,supply_chain,Backfill Snapshot,Not Started,0,2026-01-21,2026-01-21,CE,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0044,2026-07-27T00:00:00Z,RUBR-NPI-002,ccw,Backfill Snapshot,Not Started,0,2026-02-04,2026-02-04,CE / Offer team,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0045,2026-07-27T00:00:00Z,RUBR-NPI-002,fulfillment,Backfill Snapshot,Not Started,0,2026-02-17,2026-02-17,"CE, BU OPS",false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0046,2026-07-27T00:00:00Z,RUBR-NPI-002,orr,Backfill Snapshot,Not Started,0,2026-03-02,2026-03-02,S+ Team,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0047,2026-07-27T00:00:00Z,RUBR-NPI-002,orderable,Backfill Snapshot,Not Started,0,2026-03-16,2026-03-16,BUPM,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0048,2026-07-27T00:00:00Z,RUBR-NPI-002,post_orderable,Backfill Snapshot,Not Started,0,2026-03-29,2026-03-29,BU OPS,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0049,2026-07-27T00:00:00Z,DDN-SUS-003,legal,Completed,Complete,100,2025-08-20,2025-08-20,S+ Team,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0050,2026-07-27T00:00:00Z,DDN-SUS-003,documentation,Completed,Complete,100,2025-08-28,2025-08-28,BUPM,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0051,2026-07-27T00:00:00Z,DDN-SUS-003,pid_prep,Completed,Complete,100,2025-09-05,2025-09-05,BU OPS,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0052,2026-07-27T00:00:00Z,DDN-SUS-003,npi_kickoff,Completed,Complete,100,2025-09-13,2025-09-13,BU OPS + CE,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0053,2026-07-27T00:00:00Z,DDN-SUS-003,pid_creation,Completed,Complete,100,2025-09-21,2025-09-21,CE/NPPN,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0054,2026-07-27T00:00:00Z,DDN-SUS-003,pid_setups,Completed,Complete,100,2025-09-29,2025-09-29,CE/PDT,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0055,2026-07-27T00:00:00Z,DDN-SUS-003,supply_chain,Completed,Complete,100,2025-10-06,2025-10-06,CE,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0056,2026-07-27T00:00:00Z,DDN-SUS-003,ccw,Completed,Complete,100,2025-10-14,2025-10-14,CE / Offer team,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0057,2026-07-27T00:00:00Z,DDN-SUS-003,fulfillment,Completed,Complete,100,2025-10-22,2025-10-22,"CE, BU OPS",false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0058,2026-07-27T00:00:00Z,DDN-SUS-003,orr,Completed,Complete,100,2025-10-30,2025-10-30,S+ Team,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0059,2026-07-27T00:00:00Z,DDN-SUS-003,orderable,Completed,Complete,100,2025-11-07,2025-11-07,BUPM,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0060,2026-07-27T00:00:00Z,DDN-SUS-003,post_orderable,Completed,Complete,100,2025-11-15,2025-11-15,BU OPS,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0061,2026-07-27T00:00:00Z,VAST-NPI-004,legal,Completed,Complete,100,2026-01-30,2026-01-30,S+ Team,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0062,2026-07-27T00:00:00Z,VAST-NPI-004,documentation,Completed,Complete,100,2026-02-14,2026-02-14,BUPM,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0063,2026-07-27T00:00:00Z,VAST-NPI-004,pid_prep,Completed,Complete,100,2026-03-01,2026-03-01,BU OPS,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0064,2026-07-27T00:00:00Z,VAST-NPI-004,npi_kickoff,Completed,Complete,100,2026-03-16,2026-03-16,BU OPS + CE,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0065,2026-07-27T00:00:00Z,VAST-NPI-004,pid_creation,Backfill Snapshot,Not Started,0,2026-03-31,2026-03-31,CE/NPPN,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0066,2026-07-27T00:00:00Z,VAST-NPI-004,pid_setups,Backfill Snapshot,Not Started,0,2026-04-15,2026-04-15,CE/PDT,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0067,2026-07-27T00:00:00Z,VAST-NPI-004,supply_chain,Backfill Snapshot,Not Started,0,2026-04-30,2026-04-30,CE,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0068,2026-07-27T00:00:00Z,VAST-NPI-004,ccw,Backfill Snapshot,Not Started,0,2026-05-15,2026-05-15,CE / Offer team,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0069,2026-07-27T00:00:00Z,VAST-NPI-004,fulfillment,Backfill Snapshot,Not Started,0,2026-05-30,2026-05-30,"CE, BU OPS",false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0070,2026-07-27T00:00:00Z,VAST-NPI-004,orr,Backfill Snapshot,Not Started,0,2026-06-14,2026-06-14,S+ Team,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0071,2026-07-27T00:00:00Z,VAST-NPI-004,orderable,Backfill Snapshot,Not Started,0,2026-06-29,2026-06-29,BUPM,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0072,2026-07-27T00:00:00Z,VAST-NPI-004,post_orderable,Backfill Snapshot,Not Started,0,2026-07-14,2026-07-14,BU OPS,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0073,2026-07-27T00:00:00Z,VAST-SUS-005,legal,Completed,Complete,100,2025-11-09,2025-11-09,S+ Team,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0074,2026-07-27T00:00:00Z,VAST-SUS-005,documentation,Completed,Complete,100,2025-11-15,2025-11-15,BUPM,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0075,2026-07-27T00:00:00Z,VAST-SUS-005,pid_prep,Completed,Complete,100,2025-11-21,2025-11-21,BU OPS,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0076,2026-07-27T00:00:00Z,VAST-SUS-005,npi_kickoff,Completed,Complete,100,2025-11-26,2025-11-26,BU OPS + CE,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0077,2026-07-27T00:00:00Z,VAST-SUS-005,pid_creation,Completed,Complete,100,2025-12-02,2025-12-02,CE/NPPN,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0078,2026-07-27T00:00:00Z,VAST-SUS-005,pid_setups,Completed,Complete,100,2025-12-08,2025-12-08,CE/PDT,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0079,2026-07-27T00:00:00Z,VAST-SUS-005,supply_chain,Completed,Complete,100,2025-12-14,2025-12-14,CE,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0080,2026-07-27T00:00:00Z,VAST-SUS-005,ccw,Completed,Complete,100,2025-12-20,2025-12-20,CE / Offer team,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0081,2026-07-27T00:00:00Z,VAST-SUS-005,fulfillment,Completed,Complete,100,2025-12-26,2025-12-26,"CE, BU OPS",false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0082,2026-07-27T00:00:00Z,VAST-SUS-005,orr,Completed,Complete,100,2025-12-31,2025-12-31,S+ Team,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0083,2026-07-27T00:00:00Z,VAST-SUS-005,orderable,Completed,Complete,100,2026-01-06,2026-01-06,BUPM,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0084,2026-07-27T00:00:00Z,VAST-SUS-005,post_orderable,Completed,Complete,100,2026-01-12,2026-01-12,BU OPS,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0085,2026-07-27T00:00:00Z,QUMU-NPI-006,legal,Completed,Complete,100,2026-02-27,2026-02-27,S+ Team,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0086,2026-07-27T00:00:00Z,QUMU-NPI-006,documentation,Completed,Complete,100,2026-03-15,2026-03-15,BUPM,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0087,2026-07-27T00:00:00Z,QUMU-NPI-006,pid_prep,Completed,Complete,100,2026-04-01,2026-04-01,BU OPS,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0088,2026-07-27T00:00:00Z,QUMU-NPI-006,npi_kickoff,Backfill Snapshot,Not Started,0,2026-04-18,2026-04-18,BU OPS + CE,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0089,2026-07-27T00:00:00Z,QUMU-NPI-006,pid_creation,Backfill Snapshot,Not Started,0,2026-05-04,2026-05-04,CE/NPPN,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0090,2026-07-27T00:00:00Z,QUMU-NPI-006,pid_setups,Backfill Snapshot,Not Started,0,2026-05-21,2026-05-21,CE/PDT,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0091,2026-07-27T00:00:00Z,QUMU-NPI-006,supply_chain,Backfill Snapshot,Not Started,0,2026-06-07,2026-06-07,CE,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
BF-0092,2026-07-27T00:00:00Z,QUMU-NPI-006,ccw,Backfill Snapshot,Not Started,0,2026-06-23,2026-06-23,CE / Offer team,false,,,,,system-backfill,"Backfilled from Claude Design export dataset, source Excel revision 2026-07-27. Not a reported event -- treat actual_date as an 'as of' snapshot date, not a true stage-start date."
