project_id,stage_id,activity_name,task_group,owner,owner_source,status,progress,target_date,actual_date,source_detail
RAF-NPI-001,pid_setups,Export Submitted into CMT Case for Review,Classification,BU OPS + CE,Parent milestone,,,,,
RAF-NPI-001,supply_chain,ECO,,CE/NPPN,Parent milestone,,,,,
RAF-NPI-001,supply_chain,Royalty Template,,CE/NPPN,Parent milestone,,,,,
RAF-NPI-001,supply_chain,RCE Setup,,CE/NPPN,Parent milestone,,,,,
RAF-NPI-001,ccw,Vendor Business Case with Forecast,CFR,CE/PDT,Parent milestone,,,,,
RAF-NPI-001,ccw,Config Sheet,,CE/PDT,Parent milestone,Complete,1,2026-07-08,,
RAF-NPI-001,ccw,Config Rule Set-up & Validation,OWB Structure,CE/PDT,Parent milestone,,,,,
RAF-NPI-001,ccw,Provide Screenshots for Ordering Guide,CCW Demontration,CE/PDT,Parent milestone,,,,,
RAF-NPI-001,fulfillment,Smart License (SL) Mapping --> SEEM,Cisco Native License Setup,CE,Parent milestone,,,,,
RAF-NPI-001,fulfillment,GLO Template,3rd Party:  PAK Registration Setup,CE,Parent milestone,,,,,
RAF-NPI-001,fulfillment,SLT Mapping,3rd Party:  PAK Registration Setup,CE,Parent milestone,,,,,
RAF-NPI-001,fulfillment,Jigsaw Setup,3rd Party:  PAK Registration Setup,CE,Parent milestone,,,,,
RAF-NPI-001,fulfillment,Manual Provioning:  Provisioning Interface,3rd Party:  SBP Provisioning Layer,CE,Parent milestone,Complete,1,2026-07-17,,
RAF-NPI-001,fulfillment,Auto-Provisioning,3rd Party:  SBP Provisioning Layer,CE,Parent milestone,,,,,
RAF-NPI-001,fulfillment,Implementation with Vendor,3rd Party:  SBP Provisioning Layer,CE,Parent milestone,,,,,
RAF-NPI-001,fulfillment,Testing,3rd Party:  SBP Provisioning Layer,CE,Parent milestone,,,,,
RAF-NPI-001,orr,Test Order Generated,Test Order,"CE, Rafay",Parent milestone,Complete,1,2026-07-21,,
RAF-NPI-001,orr,Test Order SubID closed,Test Order,"CE, Rafay",Parent milestone,Complete,1,2026-07-21,,
RAF-NPI-001,orr,Ordering Guide Posted,,"CE, Rafay",Parent milestone,,,,,
RAF-NPI-001,orderable,BUPM,Approvals,CE,Parent milestone,Complete,1,2026-07-22,,
RAF-NPI-001,orderable,BU Operations,Approvals,CE,Parent milestone,Complete,1,2026-07-22,,
RAF-NPI-001,orderable,NPPM,Approvals,CE,Parent milestone,Complete,1,2026-07-22,,
RAF-NPI-001,orderable,P2P,,CE,Parent milestone,Complete,1,2026-07-23,,
RAF-NPI-001,post_orderable,RCE RRM Reviewed/Confirmed,,"CE, BU OPS",Parent milestone,,,,,
QUA-NPI-001,legal,Agreement Executed/Signed,,S+ Team,Parent milestone,,,,,
QUA-NPI-001,legal,ECLM/CDP Assigned,,S+ Team,Parent milestone,,,,,212504
QUA-NPI-001,legal,Vendor Onboarded into Cisco Supply Chain Systems,,S+ Team,Parent milestone,,1,2026-06-18,,
QUA-NPI-001,legal,Price List Transmitted,,S+ Team,Parent milestone,,,,,
QUA-NPI-001,documentation,BUPM,,BUPM,Parent milestone,,,,,
QUA-NPI-001,documentation,Cisco Business Case with 3-year Forecast,,BUPM,Parent milestone,,,2026-06-23,,
QUA-NPI-001,documentation,BUPM:  Orderability Date,,BUPM,Parent milestone,,,2026-06-17,,
QUA-NPI-001,documentation,Vendor,,BUPM,Parent milestone,,,,,
QUA-NPI-001,documentation,Send to Vendor: SolutionsPlus Vendor User Guide,,BUPM,Parent milestone,,,,,
QUA-NPI-001,documentation,Template: S+ Provisioning-CustSupport,,BUPM,Parent milestone,,,2026-07-01,,
QUA-NPI-001,documentation,Export Template Completed by Vendor,,BUPM,Parent milestone,,,2026-06-08,,
QUA-NPI-001,pid_prep,PF Created,,BU OPS,Parent milestone,,,,,
QUA-NPI-001,pid_prep,Product Hierarchy: PF-PT-PSG,,BU OPS,Parent milestone,,,2026-05-13,,
QUA-NPI-001,pid_prep,Pricing Ops:  Uplifts = 20%,,BU OPS,Parent milestone,,,,,
QUA-NPI-001,pid_creation,Created,eGenie Template,BU OPS,Parent milestone,,,,,
QUA-NPI-001,pid_creation,Reviewed + Uploaded,eGenie Template,BU OPS,Parent milestone,,,,,
QUA-NPI-001,pid_creation,BUC Approved Pricing,,BU OPS,Parent milestone,,,2026-06-24,,
QUA-NPI-001,pid_setups,CPDM Created,Rev Rec Setup,BU OPS + CE,Parent milestone,,,,,
QUA-NPI-001,pid_setups,RCL Created,Rev Rec Setup,BU OPS + CE,Parent milestone,,,,,
QUA-NPI-001,pid_setups,PID List Submitted into CPDM,Rev Rec Setup,BU OPS + CE,Parent milestone,,,,,
QUA-NPI-001,pid_setups,OA Setup,Rev Rec Setup,BU OPS + CE,Parent milestone,,,,,
QUA-NPI-001,pid_setups,Tax Classification,Classification,BU OPS + CE,Parent milestone,,,,,
QUA-NPI-001,pid_setups,Export Classification,Classification,Gracieli,Task row,,,2026-07-22,,
QUA-NPI-001,pid_setups,CMT Case Created & EPR assigned,Classification,BU OPS + CE,Parent milestone,,,,,CMT-2026-68343
QUA-NPI-001,pid_setups,Export Template Completed by Vendor,Classification,BU OPS + CE,Parent milestone,,,,,
QUA-NPI-001,pid_setups,Export Submitted into CMT Case for Review,Classification,BU OPS + CE,Parent milestone,,,,,
QUA-NPI-001,supply_chain,ECO,,CE/NPPN,Parent milestone,,,,,
QUA-NPI-001,supply_chain,Royalty Template,,CE/NPPN,Parent milestone,,,,,
QUA-NPI-001,supply_chain,RCE Setup,,CE/NPPN,Parent milestone,,,,,
QUA-NPI-001,ccw,Vendor Business Case with Forecast,CFR,CE/PDT,Parent milestone,,,,,
QUA-NPI-001,ccw,Config Sheet,,CE/PDT,Parent milestone,Complete,1,2026-07-08,,
QUA-NPI-001,ccw,Config Rule Set-up & Validation,OWB Structure,CE/PDT,Parent milestone,,,,,
QUA-NPI-001,ccw,Provide Screenshots for Ordering Guide,CCW Demontration,CE/PDT,Parent milestone,,,,,
QUA-NPI-001,fulfillment,Smart License (SL) Mapping --> SEEM,Cisco Native License Setup,CE,Parent milestone,,,,,
QUA-NPI-001,fulfillment,GLO Template,3rd Party:  PAK Registration Setup,CE,Parent milestone,,,,,
QUA-NPI-001,fulfillment,SLT Mapping,3rd Party:  PAK Registration Setup,CE,Parent milestone,,,,,
QUA-NPI-001,fulfillment,Jigsaw Setup,3rd Party:  PAK Registration Setup,CE,Parent milestone,,,,,
QUA-NPI-001,fulfillment,Manual Provioning:  Provisioning Interface,3rd Party:  SBP Provisioning Layer,CE,Parent milestone,Complete,1,2026-07-17,,
QUA-NPI-001,fulfillment,Auto-Provisioning,3rd Party:  SBP Provisioning Layer,CE,Parent milestone,,,,,
QUA-NPI-001,fulfillment,Implementation with Vendor,3rd Party:  SBP Provisioning Layer,CE,Parent milestone,,,,,
QUA-NPI-001,fulfillment,Testing,3rd Party:  SBP Provisioning Layer,CE,Parent milestone,,,,,
QUA-NPI-001,orr,Test Order Generated,Test Order,"CE, Rafay",Parent milestone,Complete,1,2026-07-21,,
QUA-NPI-001,orr,Test Order SubID closed,Test Order,"CE, Rafay",Parent milestone,Complete,1,2026-07-21,,
QUA-NPI-001,orr,Ordering Guide Posted,,"CE, Rafay",Parent milestone,,,,,
QUA-NPI-001,orderable,BUPM,Approvals,CE,Parent milestone,Complete,1,2026-07-22,,
QUA-NPI-001,orderable,BU Operations,Approvals,CE,Parent milestone,Complete,1,2026-07-22,,
QUA-NPI-001,orderable,NPPM,Approvals,CE,Parent milestone,Complete,1,2026-07-22,,
QUA-NPI-001,orderable,P2P,,CE,Parent milestone,Complete,1,2026-07-23,,
QUA-NPI-001,post_orderable,RCE RRM Reviewed/Confirmed,,"CE, BU OPS",Parent milestone,,,,,
